0.00	0.00	-3.14	0.00	0.00
-0.00	0.00	-3.16	-135.87	0.00
-0.01	-0.15	-3.18	-19.00	0.00
-0.01	-0.19	-3.20	-3.46	0.00
-0.02	-0.22	-3.22	-1.45	0.00
-0.02	-0.22	-3.23	-1.02	0.00
-0.02	-0.20	-3.25	-0.82	0.00
-0.03	-0.22	-3.26	-0.78	0.00
-0.03	-0.21	-3.27	-0.64	0.00
-0.04	-0.21	-3.28	-0.50	0.00
-0.04	-0.22	-3.28	-0.33	0.00
-0.05	-0.21	-3.28	-0.17	0.00
-0.05	-0.21	-3.28	-0.03	0.00
-0.05	-0.21	-3.28	-0.01	0.00
-0.06	-0.21	-3.27	0.13	0.00
-0.06	-0.21	-3.26	0.42	0.00
-0.07	-0.21	-3.24	0.59	0.00
-0.07	-0.21	-3.23	0.60	0.00
-0.07	-0.21	-3.21	0.75	0.00
-0.08	-0.21	-3.20	0.76	0.00
-0.08	-0.21	-3.18	0.90	0.00
-0.09	-0.21	-3.16	0.92	0.00
-0.09	-0.21	-3.14	0.92	0.00
-0.10	-0.21	-3.12	0.92	0.00
-0.10	-0.21	-3.10	1.05	0.00
-0.10	-0.21	-3.09	0.94	0.00
-0.11	-0.21	-3.07	0.79	0.00
-0.11	-0.21	-3.05	0.90	0.00
-0.12	-0.21	-3.04	0.65	0.00
-0.12	-0.21	-3.03	0.62	0.00
-0.12	-0.21	-3.02	0.62	0.00
-0.13	-0.21	-3.02	0.35	0.00
-0.13	-0.21	-3.02	0.31	0.00
-0.14	-0.21	-3.02	0.04	0.00
-0.14	-0.21	-3.02	0.01	0.00
-0.15	-0.21	-3.02	0.01	0.00
-0.15	-0.22	-3.03	-0.14	0.00
-0.15	-0.21	-3.04	-0.42	0.00
-0.16	-0.21	-3.05	-0.46	0.00
-0.16	-0.21	-3.07	-0.59	0.00
-0.17	-0.21	-3.08	-0.74	0.00
-0.17	-0.22	-3.10	-0.76	0.00
-0.17	-0.21	-3.12	-0.90	0.00
-0.18	-0.21	-3.13	-0.79	0.00
-0.18	-0.21	-3.15	-0.90	0.00
-0.19	-0.21	-3.17	-0.79	0.00
-0.19	-0.21	-3.18	-0.90	0.00
-0.20	-0.22	-3.20	-0.79	0.00
-0.20	-0.21	-3.21	-0.77	0.00
-0.20	-0.20	-3.22	-0.77	0.00
0.00	-0.10	-3.20	-0.24	0.00
0.01	8.76	-3.17	0.61	0.00
0.01	1.39	-3.13	1.52	0.00
0.02	0.46	-3.08	1.94	0.00
0.03	0.35	-3.04	2.27	0.00
0.03	0.32	-3.01	2.03	0.00
0.04	0.31	-2.97	1.86	0.00
0.04	0.32	-2.94	1.71	0.00
0.05	0.32	-2.91	1.70	0.00
0.06	0.32	-2.89	1.29	0.00
0.06	0.31	-2.87	1.11	0.00
0.07	0.32	-2.86	0.95	0.00
0.08	0.32	-2.86	0.52	0.00
